Num,Brand,Model_Name,Processor,Operating_System,Storage_MB,RAM_GB,Screen_Size,Touch_Screen,Price
233,ASUS,M6500QFB-LK742WS,Ryzen 7 Octa Core,Windows 11 Home,512,16,39.62,No,815.88
234,HP,15-eg3079TU,Core i5,Windows 11 Home,512,16,39.62,No,803.88
235,HP,15s-fq5202TU,Core i5,Windows 11 Home,512,8,39.62,No,647.88
236,Infinix,XL30,Celeron Quad Core,Windows 11 Home,128,4,39.62,No,251.88
237,Acer,A315-24P,Ryzen 3 Quad Core,Windows 11 Home,256,8,39.62,No,335.88
238,HP,15s-fq5007TU,Core i3,Windows 11 Home,512,8,39.62,No,467.88
239,DELL,INSP 5620,Core i3,Windows 11 Home,512,8,40.64,Yes,527.88
240,Acer,ANV15-51,Core i5,Windows 11 Home,512,16,39.62,No,779.88
241,ASUS,K3504VAB-NJ541WS,Core i5,Windows 11 Home,512,16,39.62,No,714.00
242,Infinix,XL422,Core i5,Windows 11 Home,512,16,35.56,No,467.88
243,HP,15s- fr4000TU,Core i5,Windows 11 Home,512,8,39.62,No,563.88
244,HP,15s- fr5011TU,Core i5,Windows 11 Home,512,16,39.62,No,647.88
245,ZEBRONICS,ZEB-NBC 2S,Core i5,Windows 11 Home,512,16,39.62,No,395.88
246,Infinix,INBook Y1 Plus,Core i3,Windows 11 Home,256,8,39.62,No,345.48
247,HP,15s-fq5007TU,Core i3,Windows 11 Home,512,8,39.62,No,467.88
248,HP,15s-fy5003TU,Core i3,Windows 11 Home,512,8,39.62,No,455.88
249,HP,15s- ey2001au,Ryzen 7 Octa Core,Windows 11 Home,512,16,39.62,No,647.88
250,Primebook,Primebook S 4G,MediaTek MT8788,Prime OS,128,4,29.46,No,203.88
251,HP,15s- fr4000TU,Core i5,Windows 11 Home,512,8,39.62,No,563.88
252,HP,15s- fr5011TU,Core i5,Windows 11 Home,512,16,39.62,No,647.88
253,Lenovo,15ACH6H,Ryzen 7 Octa Core,Windows 11 Home,1000,16,39.62,No,1199.88
254,Acer,PHN16-71,Core i7,Windows 11 Home,512,16,40.64,No,1439.88
255,HP,15a- na0012TU,Celeron Dual Core,Chrome,128,4,39.62,No,311.22
256,HP,14-dv2153TU,Core i5,Windows 11 Home,1000,16,35.56,No,803.99
257,HP,15s-fy5002TU,Core i5,Windows 11 Home,512,8,39.62,No,599.88
258,ZEBRONICS,ZEB-NBC 3S,Core i3,Windows 11 Home,512,8,39.62,No,383.88
259,ASUS,ROG Strix G15,Ryzen 7 Octa Core,Windows 11 Home,1000,16,39.62,Yes,1019.88
260,ASUS,G513RC-HN061W,Ryzen 7 Octa Core,Windows 11 Home,512,16,39.62,No,935.88
261,HP,14-EC1019AU,Ryzen 5 Hexa Core,Windows 11 Home,512,16,35.56,No,659.88
262,ASUS,RC71L-NH019W,Ryzen Z1 HexaCore,Windows 11 Home,512,16,17.78,Yes,635.88
263,Infinix,XL25,Core i5,Windows 11 Home,512,16,39.62,No,455.88
264,ASUS,G513RC-HN083W,Ryzen 7 Octa Core,Windows 11 Home,1000,16,39.62,No,983.88
265,MSI,Katana 17 B13UDXK-255IN,Core i7,Windows 11 Home,4000,16,43.94,No,1127.88
266,HP,15-eg3079TU,Core i5,Windows 11 Home,512,16,39.62,No,803.88
267,HP,15s-fq5202TU,Core i5,Windows 11 Home,512,8,39.62,No,647.88
268,HP,Notebook,Core i7,Windows 11 Home,512,16,39.62,No,820.48
269,Lenovo,15IGL05,Celeron Dual Core,Windows 11 Home,256,8,39.62,No,323.88
270,HP,15s-fy5003TU,Core i3,Windows 11 Home,512,8,39.62,No,455.88
271,HP,15s- fr4000TU,Core i5,Windows 11 Home,512,8,39.62,No,563.88
272,ASUS,M6500QF-HN521W,Ryzen 5 Hexa Core,Windows 11 Home,512,8,39.62,No,611.88
273,ASUS,K3605ZC-MBN541WS,Core i5,Windows 11 Home,512,16,40.64,No,839.88
274,HP,15-fb1016AX,Ryzen 5 Hexa Core,Windows 11 Home,512,8,39.62,No,772.80
275,WINGS,WL-Nuvobook S1-SLV,Core i3,Windows 11 Home,256,8,39.62,No,299.88
276,HP,15s- fr5011TU,Core i5,Windows 11 Home,512,16,39.62,No,647.88
277,Lenovo,15AMN7,Ryzen 3 Quad Core,Windows 11 Home,-1,8,39.62,No,407.88
278,HP,15s-fy5007TU,Core i5,Windows 11 Home,512,8,39.62,No,647.88
279,HP,14-dv2153TU,Core i5,Windows 11 Home,1000,16,35.56,No,803.99
280,HP,15s-fy5002TU,Core i5,Windows 11 Home,512,8,39.62,No,599.88
281,DELL,Inspiron 3530,Core i5,Windows 11 Home,1000,16,39.62,No,779.88
282,ASUS,Chromebook,Celeron Dual Core,Chrome,64,4,35.56,Yes,287.99
283,Acer,A315-59,Core i3,Windows 11 Home,512,8,39.62,No,382.68
284,Acer,ANV15-51,Core i5,Windows 11 Home,512,8,39.62,No,755.88
285,ASUS,G513RC-HN061W,Ryzen 7 Octa Core,Windows 11 Home,512,16,39.62,No,935.88
286,HP,14-EC1019AU,Ryzen 5 Hexa Core,Windows 11 Home,512,16,35.56,No,659.88
287,MSI,Thin GF63 12VE-070IN,Core i7,Windows 11 Home,2000,16,39.62,No,959.88
288,HP,15-fb0150AX,Ryzen 5 Hexa Core,Windows 11 Home,512,16,39.62,Yes,659.99
289,HP,15-eg3079TU,Core i5,Windows 11 Home,512,16,39.62,No,803.88
290,HP,15s-fq5202TU,Core i5,Windows 11 Home,512,8,39.62,No,647.88
291,HP,14-dv1000TU,Core i5,Windows 11 Home,512,8,35.56,No,692.16
292,DELL,Inspiron,Core i5,Windows 11 Home,512,8,39.62,No,842.39
293,DELL,G15-5525,Ryzen 7 Octa Core,Windows 11 Home,512,16,96.52,No,1116.04
